type,slug,title,title_length,title_status,duplicate_title_count,description,description_length,description_status,duplicate_description_count
category,precio-bomba,Ofertas Precio Bomba Ecuador | KS Promocionales,47,OK,1,Ofertas especiales en artículos promocionales con logo. Descuentos exclusivos. Envíos en Ecuador. ¡Cotiza por WhatsApp!,119,OK,1
category,antiestres,Productos Antiestrés Promocionales Ecuador | KS,47,OK,1,"Productos antiestrés personalizados con logo. Pelotas, figuras y más. Alta calidad. Envíos en Ecuador. ¡Cotiza por WhatsApp!",124,OK,1
category,antimicrobianos,Productos Antimicrobianos Promocionales Ecuador | KS,52,OK,1,Artículos antimicrobianos personalizados con logo. Protección y marca. Envíos en Ecuador. ¡Cotiza por WhatsApp!,111,OK,1
category,boligrafos-publicitarios,Bolígrafos Publicitarios: Catálogo y Cotización para Empresas | KS,66,TOO_LONG_TRUNCATION_RISK,1,"Catálogo de bolígrafos publicitarios, lapiceros y esferos personalizados con logo. Metálicos, ecológicos, ejecutivos. Cotiza por WhatsApp con entrega en Ecuador.",161,OK,1
category,reflectivos,Artículos Reflectivos Promocionales Ecuador | KS,48,OK,1,Productos reflectivos personalizados con logo. Seguridad y marca. Envíos en Ecuador. ¡Cotiza por WhatsApp!,106,OK,1
category,automovil,Accesorios para Auto Promocionales Ecuador | KS,47,OK,1,Accesorios para auto personalizados con logo. Alta calidad. Envíos en Ecuador. ¡Cotiza por WhatsApp!,100,OK,1
category,bar-y-vino,Accesorios Bar y Vino Promocionales Ecuador | KS,48,OK,1,"Accesorios de bar y vino personalizados con logo. Sets, destapadores y más. Envíos en Ecuador. ¡Cotiza!",103,OK,1
category,bicicleta,Accesorios Bicicleta Promocionales Ecuador | KS,47,OK,1,Accesorios para bicicleta personalizados con logo. Envíos en Ecuador. ¡Cotiza por WhatsApp!,91,OK,1
category,calculadoras,Calculadoras Promocionales Ecuador | KS,39,OK,1,Calculadoras personalizadas con logo. Varios modelos. Envíos en Ecuador. ¡Cotiza por WhatsApp!,94,OK,1
category,camisetas-y-confeccion-corporativa,Camisetas y Confección Corporativa Personalizada Ecuador | KS Promocionales,75,TOO_LONG_TRUNCATION_RISK,1,"Camisetas y confección corporativa personalizada con tu logo. Bordado, sublimación, serigrafía. Desde 12 unidades. Envíos Ecuador. ¡Cotiza!",139,OK,1
category,deportes,Artículos Deportivos Promocionales Ecuador | KS,47,OK,1,Productos deportivos personalizados con logo. Equipamiento y accesorios. Envíos en Ecuador. ¡Cotiza!,100,OK,1
category,econature,Productos EcoNature Promocionales Ecuador | KS,46,OK,1,Productos ecológicos EcoNature personalizados con logo. Sostenibilidad premium. Envíos en Ecuador. ¡Cotiza!,107,OK,1
category,ecologia,Artículos Ecológicos Promocionales para Empresas | KS Promocionales,67,TOO_LONG_TRUNCATION_RISK,1,"Artículos promocionales ecológicos y sostenibles para empresas en Ecuador. Bolígrafos, libretas y bolsas en bambú y materiales reciclados. Ideal para campañas ESG.",163,OK,1
