url,schema_type,entity_id,duplicate_entity,required_fields,recommended_fields,visible_content_match,valid_json,action
"/ (todas las páginas vía layout.tsx)",LocalBusiness,https://www.kronosolopromocionales.com/#localbusiness,false,"name+address+telephone presentes",areaServed/geo/openingHours presentes,n/a (entidad global no visible 1:1),true,"NINGUNA — entidad real única, @id estable. Nota aparte (Fase 17, no en alcance de esta sesión): streetAddress ""Norte de Quito"" es una dirección no verificada; plan-seo.md la señala explícitamente como ejemplo de qué NO usar — pendiente confirmación del negocio."
"/ (todas las páginas vía layout.tsx)",WebSite,https://www.kronosolopromocionales.com/#website,false,name+url presentes,publisher referencia #localbusiness correctamente,n/a,true,NINGUNA
/,OnlineStore,https://www.kronosolopromocionales.com/#localbusiness,false,name+url presentes,areaServed/priceRange presentes,n/a,true,"FIJADO ESTA SESIÓN — antes no tenía @id y aparecía como negocio separado del LocalBusiness pese a compartir nombre; se le agregó el mismo @id para que Google lo fusione en el grafo con la entidad real (src/app/page.tsx)."
/productos/[slug]/ (muestra: organizador-multiusos-link-nuevo-13536),Product,,false,"name+description+image+sku presentes",brand presente; sin offers/review/aggregateRating (correcto — el negocio cotiza por WhatsApp sin precios públicos),true (coincide con contenido visible del producto),true,NINGUNA — ya validado en fases anteriores del plan
/productos/[slug]/,BreadcrumbList,,false,itemListElement con 3+ niveles,,true,true,NINGUNA
/categorias/[slug]/ (muestra: antiestres),ItemList,,false,numberOfItems+itemListElement,,true (primeros 20 productos),true,NINGUNA
/categorias/[slug]/ (muestra: boligrafos-publicitarios),BreadcrumbList,,false,itemListElement,,true,true,NINGUNA
/categorias/[slug]/pagina/[page]/ (muestra: boligrafos-publicitarios página 3),ItemList+BreadcrumbList,,false,numberOfItems refleja el conteo de esa página (24),,true (verificado en Fase 9 de esta sesión),true,NINGUNA
/blog/[slug]/ (muestra),BlogPosting,https://www.kronosolopromocionales.com/blog/regalos-corporativos-fin-ano-ecuador/#article,false,headline+author+datePublished,,true,true,NINGUNA
/productos-promocionales-ecuador/,LocalBusiness (bloque adicional),https://www.kronosolopromocionales.com/#localbusiness,false,"solo añade areaServed (Ecuador + 5 ciudades) al mismo @id",,n/a,true,NINGUNA — correcto: no crea entidad nueva, extiende la real vía @id compartido
/productos-promocionales-ecuador/quito/,Service,,false,name+serviceType+areaServed+url,provider referencia #localbusiness correctamente,true,true,"PILOTO Fase 6/7 implementado esta sesión — reemplaza el LocalBusiness independiente anterior (""KS Promocionales Quito"", sin @id)"
/productos-promocionales-ecuador/quito/,BreadcrumbList,,false,itemListElement con 3 niveles,,true,true,AÑADIDO esta sesión (piloto)
/productos-promocionales-ecuador/quito/,FAQPage,,false,mainEntity con Question/Answer,,"true — verificado programáticamente: cada pregunta y respuesta del schema aparece textualmente en el HTML visible",true,AÑADIDO esta sesión (piloto)
/productos-promocionales-ecuador/guayaquil/,LocalBusiness,(sin @id),true,"name (""KS Promocionales Guayaquil"") + areaServed + parentOrganization",,n/a,true,"PENDIENTE — mismo problema que Quito antes del piloto: declara un negocio independiente sin @id compartido. Candidato a recibir el mismo fix (Service + @id → #localbusiness) al extender el piloto, pendiente aprobación explícita."
/productos-promocionales-ecuador/cuenca/,LocalBusiness,(sin @id),true,"name (""KS Promocionales Cuenca"") + areaServed + parentOrganization",,n/a,true,"PENDIENTE — igual que Guayaquil. GSC históricamente mostró rendimiento positivo en esta página (según plan-seo.md); no tocar contenido sin revisar datos reales de GSC, pero el fix de schema es de bajo riesgo (no cambia contenido visible)."
/productos-promocionales-ecuador/manta/,LocalBusiness,(sin @id),true,"name (""KS Promocionales Manta"") + areaServed + parentOrganization",,n/a,true,"PENDIENTE — igual que Guayaquil. GSC históricamente mostró rendimiento positivo (según plan-seo.md); mismo criterio que Cuenca."
/productos-promocionales-ecuador/ambato/,LocalBusiness,(sin @id),true,"name (""KS Promocionales Ambato"") + areaServed + parentOrganization",,n/a,true,"PENDIENTE — igual que Guayaquil. GSC históricamente mostró rendimiento positivo (según plan-seo.md); mismo criterio que Cuenca."
/regalos-corporativos/,FAQPage,,false,mainEntity con Question/Answer,,"true — verificado programáticamente",true,NINGUNA (preexistente, ya cumplía)
/nosotros/,FAQPage,,false,mainEntity con Question/Answer,,"true — verificado programáticamente",true,NINGUNA (preexistente, ya cumplía)
/nosotros/,Person,https://www.kronosolopromocionales.com/nosotros/#claudia-gonzalez,false,name presente,,n/a,true,NINGUNA — persona real asociada a la empresa, no es una entidad de negocio duplicada
/nosotros/,WebPage,https://www.kronosolopromocionales.com/nosotros/#webpage,false,,,n/a,true,NINGUNA
